name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 2B (BUKIT MERAH),1.28696437748579,103.806346349205,HDB,105.5527,High Accessibility,1,BUKIT MERAH
Block 20 (BEDOK),1.32627271243233,103.922885287154,HDB,161.4395,High Accessibility,1,BEDOK
Block 20 (NOVENA),1.32676770918896,103.859935229257,HDB,80.8976,Moderate Accessibility,2,NOVENA
Block 20 (TOA PAYOH),1.33496995780087,103.857192519078,HDB,87.2899,Moderate Accessibility,2,TOA PAYOH
Block 20 (MARINE PARADE),1.30371588728852,103.915067020322,HDB,115.6885,High Accessibility,1,MARINE PARADE
Block 20 (WOODLANDS),1.44344416787521,103.776989477833,HDB,58.7359,Poor Accessibility,3,WOODLANDS
Block 20 (JURONG EAST),1.32378355041705,103.7385183842,HDB,68.5379,Poor Accessibility,3,JURONG EAST
Block 20 (BUKIT MERAH),1.27691594809877,103.821818722889,HDB,104.8172,High Accessibility,1,BUKIT MERAH
Block 20A (JURONG EAST),1.32393810694523,103.737972411591,HDB,68.005,Poor Accessibility,3,JURONG EAST
Block 201 (WOODLANDS),1.44270022874362,103.775436532502,HDB,58.0393,Poor Accessibility,3,WOODLANDS
Block 202 (WOODLANDS),1.44315121142693,103.775164777049,HDB,56.3682,Poor Accessibility,3,WOODLANDS
Block 203 (WOODLANDS),1.44378245782924,103.774416596146,HDB,53.5791,Poor Accessibility,3,WOODLANDS
Block 203 (PASIR RIS),1.36694570799969,103.962072493987,HDB,65.1372,Poor Accessibility,3,PASIR RIS
Block 204 (WOODLANDS),1.44421587707158,103.77402718469,HDB,52.0107,Poor Accessibility,3,WOODLANDS
Block 204 (PASIR RIS),1.36749750148651,103.962384353702,HDB,63.9684,Poor Accessibility,3,PASIR RIS
Block 204A (PASIR RIS),1.3668021319919,103.96255759545,HDB,63.8889,Poor Accessibility,3,PASIR RIS
Block 205 (WOODLANDS),1.4449461460443,103.773484126567,HDB,49.7287,Poor Accessibility,3,WOODLANDS
Block 205 (PASIR RIS),1.36693709353527,103.962939357935,HDB,62.7945,Poor Accessibility,3,PASIR RIS
Block 206 (CLEMENTI),1.32150115847495,103.762228657544,HDB,102.7811,High Accessibility,1,CLEMENTI
Block 206 (WOODLANDS),1.44540729578602,103.77336982144,HDB,48.692,Poor Accessibility,3,WOODLANDS
Block 206 (PASIR RIS),1.36628164486583,103.962698475917,HDB,63.7609,Poor Accessibility,3,PASIR RIS
Block 206A (ANG MO KIO),1.36607557661806,103.843384221701,HDB,140.5951,High Accessibility,1,ANG MO KIO
Block 207 (ANG MO KIO),1.36582089504381,103.842847772078,HDB,134.4026,High Accessibility,1,ANG MO KIO
Block 207 (JURONG WEST),1.34658609595354,103.713568363065,HDB,95.0967,High Accessibility,1,JURONG WEST
Block 207 (CLEMENTI),1.32238038257706,103.762372790269,HDB,94.7417,High Accessibility,1,CLEMENTI
Block 207 (PASIR RIS),1.36635102099633,103.962373134597,HDB,64.6101,Poor Accessibility,3,PASIR RIS
Block 207A (ANG MO KIO),1.36604106130113,103.842228684962,HDB,130.9528,High Accessibility,1,ANG MO KIO
